total_return,cagr,vol,sharpe,sortino,calmar,max_dd,hit_rate,skewness,kurtosis,n_days,label
-0.7550642230615925,-0.06763626375248888,0.10240462361043424,-0.6324761350694911,-0.7365574553981664,-0.08416334136200714,-0.8036309236056676,0.5334914048606995,-1.0139143042620866,9.691115343756595,5062,RET_L10
-0.16513534533975727,-0.008944817316612452,0.09761595654755177,-0.043286604035899186,-0.054971727738598576,-0.023315907330268157,-0.38363582381374894,0.5496937364157282,0.19245824235055606,13.624506736989083,5062,RET_L21
0.25865157915673564,0.01151788535751308,0.09826981725092984,0.16584984844025452,0.19673506100480043,0.027284138577426047,-0.42214583116956383,0.5696502667457024,-0.7779549334076313,5.498152912049417,5062,RET_L63
1.2288402009411379,0.04070659612945149,0.09617289516735063,0.46319416777305195,0.5653869474306348,0.1277448041468889,-0.3186555915232726,0.5678719620628334,-0.6575850317540305,4.813498166887843,5062,RET_L126
-0.6578241577026992,-0.05198834339756497,0.104403473550182,-0.4590819708863655,-0.5536881371362596,-0.07318320709108901,-0.7103862411066052,0.5299347954949615,-0.46786292133215696,18.041813589139675,5062,MAC_L10
0.6075504365676545,0.023913878682154666,0.10161389389525055,0.2834061213632258,0.35810823623934085,0.09804560693991525,-0.24390566215587484,0.5597707962853191,0.12986949286429642,12.93066382250049,5062,MAC_L21
1.0035874193989551,0.03520135129065238,0.1023917488627317,0.3893136562757175,0.4643289944633153,0.11267387358493687,-0.31241804484618674,0.5755779490219324,-0.727804381456902,4.601444984623292,5062,MAC_L63
1.6848646653737673,0.050395645801807776,0.10281288639961836,0.5299316628960045,0.6315344686610271,0.17979668756089162,-0.2802924040785808,0.5743924125666864,-0.8036046156281281,6.490959235748347,5062,MAC_L126
2.364937105722718,0.062268571685556884,0.10970374558320185,0.6057650638908011,0.743486034550381,0.1931079337704622,-0.3224547561032497,0.5678719620628334,-0.4458090379207208,9.322631380345788,5062,BRK_L10
2.469028042368012,0.06388087166643275,0.10968850540523281,0.6196674500710233,0.7597552672643979,0.1972146231760767,-0.3239154918517314,0.5690574985180794,-0.44955930639986574,9.342334939774867,5062,BRK_L21
2.6376437817611778,0.06639755127944547,0.10965249269092552,0.641389495782317,0.7871540674585008,0.20713927249084427,-0.32054544983680144,0.5704406243825331,-0.44071583084515586,9.299392247816487,5062,BRK_L63
2.6744523150359933,0.06693217308193877,0.10968248709429809,0.6458162015816195,0.7925060627964736,0.20912396947197046,-0.3200597867902938,0.5704406243825331,-0.44230979802853504,9.313970652718718,5062,BRK_L126
-0.5377207763478393,-0.03768326838084202,0.10280702276887116,-0.3220597796336327,-0.3819468090058753,-0.05987009718447064,-0.6294171907677555,0.5376407824540604,-0.8824568030300777,13.897287569068062,5062,LREG_L10
0.9744345796017853,0.034446265584696656,0.10224332289393374,0.38236746760345336,0.4851866572906999,0.15022435063511663,-0.22929881499946692,0.5617466903773958,0.33821735663916175,15.280064891318275,5062,LREG_L21
1.063618623499023,0.03672387765289997,0.10223156164459388,0.4041540489044861,0.48003529801885036,0.10519019966077058,-0.34911881307699144,0.576368306658763,-0.7762900753030393,4.879625282910368,5062,LREG_L63
1.7441972612755872,0.05153927034495798,0.10226062323288802,0.5429045561329101,0.6386398397648595,0.18736848598127653,-0.27506904416203815,0.5767634854771784,-0.904473075681888,6.830452870753566,5062,LREG_L126
0.5928514981105777,0.02345044539349672,0.08947201963388207,0.30397439597752685,0.3792869677514707,0.08715239323634479,-0.26907402680156445,0.5664031620553359,-0.6703842716109241,3.3457188448401314,5061,diversified_emv
6.812264533580487,0.1077578639721053,0.19349134415816482,0.6259188196529074,0.7623481816582532,0.19520961547277654,-0.5520110457219406,0.5518672199170125,-0.0012056943319173196,15.029544580527741,5062,SPY_buy_hold
