total_return,cagr,vol,sharpe,sortino,calmar,max_dd,hit_rate,skewness,kurtosis,n_days,signal_type,lookback,weight_method,label,avg_turnover
-0.9239278574199008,-0.12622695846419207,0.13436011964659259,-0.9363301002000295,-1.080677039747221,-0.13532033766607338,-0.9328010899269199,0.49272349272349275,-1.6390868865295607,22.22386894302648,4811,RET,5,equal,RET_L5_equal,0.6097735038390414
-0.9138645003245045,-0.11490375239251416,0.10689083110774965,-1.087834944009223,-1.2027958032482147,-0.12477684008197672,-0.9208740365361386,0.5129421063031021,-2.1479725094474174,29.22330340921555,5062,RET,5,inv_vol,RET_L5_inv_vol,0.5658296342456889
-0.7682316855131688,-0.07372156002599006,0.13097961049088985,-0.5188665750628594,-0.6189854263518955,-0.08983700900092673,-0.8206145868595155,0.508939708939709,-0.8743198677921246,11.251267207516914,4811,RET,10,equal,RET_L10_equal,0.4489320203554323
-0.7550642230615925,-0.06763626375248888,0.10240462361043424,-0.6324761350694911,-0.7365574553981664,-0.08416334136200714,-0.8036309236056676,0.5334914048606995,-1.0139143042620866,9.691115343756595,5062,RET,10,inv_vol,RET_L10_inv_vol,0.41501271383136007
-0.20210899115050585,-0.011756860897052412,0.12293411939700163,-0.03470193685229275,-0.04401831219168537,-0.02770218675898328,-0.42440190730574334,0.5284823284823285,-0.1298875778409369,9.307360166077276,4811,RET,21,equal,RET_L21_equal,0.31088948003658484
-0.16513534533975727,-0.008944817316612452,0.09761595654755177,-0.043286604035899186,-0.054971727738598576,-0.023315907330268157,-0.38363582381374894,0.5496937364157282,0.19245824235055606,13.624506736989083,5062,RET,21,inv_vol,RET_L21_inv_vol,0.28371714772814244
0.8071072220364441,0.03147999194307838,0.12230939860145912,0.314770717537286,0.39567401352359294,0.09688609240113374,-0.32491755176525217,0.5451143451143451,-0.464400439000552,4.160727844482366,4811,RET,42,equal,RET_L42_equal,0.21962824280755988
0.5507391715181225,0.022081512400776937,0.09843645708524618,0.2712838771083941,0.32577926434774895,0.0697123608256587,-0.3167517516154682,0.5704406243825331,-0.6822081069673074,4.568104855763481,5062,RET,42,inv_vol,RET_L42_inv_vol,0.19602181101306437
0.3622282339074363,0.01632358391358668,0.12045788204013343,0.19486333178377277,0.24082584882255695,0.041185211677741994,-0.3963457573391215,0.5434511434511434,-0.6237224149490321,4.190481716497988,4811,RET,63,equal,RET_L63_equal,0.1695153044951302
0.25865157915673564,0.01151788535751308,0.09826981725092984,0.16584984844025452,0.19673506100480043,0.027284138577426047,-0.42214583116956383,0.5696502667457024,-0.7779549334076313,5.498152912049417,5062,RET,63,inv_vol,RET_L63_inv_vol,0.1550234029867425
